ticker,month,timeframe,roi,tp_hits,sl_hits,spacing
BNB-USD,2025-11,1d,-0.20495969620760662,6,4,0.03383986768460986
XRP-USD,2025-11,1d,-0.3400697366160057,4,3,0.04958206302924657
SOL-USD,2025-11,1d,-0.27248516576059045,9,3,0.056765779250213345
TRX-USD,2025-11,1d,-0.08918770625841717,2,3,0.02090985612910639
DOGE-USD,2025-11,1d,-0.4249414642990996,7,3,0.06765052045390196
BCH-USD,2025-11,1d,0.08506266906448218,9,1,0.0709315498242031
LEO-USD,2025-11,1d,0.04378528714823915,1,0,0.08813356919806431
LINK-USD,2025-11,1d,-0.4353061204625374,4,3,0.059161827084307526
XLM-USD,2025-11,1d,-0.4232779417828715,7,3,0.0696812438451659
XAUt-USD,2025-11,1d,0.11043396712990215,3,1,0.02053178731056527
BGB-USD,2025-11,1d,-0.43886010884705684,5,7,0.02023716687281513
PAXG-USD,2025-11,1d,0.09925599286665601,2,0,0.0221428825937659
AAVE-USD,2025-11,1d,-0.38329470159922496,6,2,0.09054137595727334
OKB-USD,2025-11,1d,-0.3476201846750155,8,4,0.04707008096672337
ONDO-USD,2025-11,1d,-0.40105276117985345,9,3,0.07692439567161159
USDD-USD,2025-11,1d,0.000966387253592984,0,0,0.015
BNB-USD,2025-12,1d,-0.11980757837816783,2,2,0.03383986768460986
XRP-USD,2025-12,1d,-0.2755101346029005,2,2,0.04958206302924657
SOL-USD,2025-12,1d,-0.034165195962614234,6,1,0.056765779250213345
TRX-USD,2025-12,1d,-0.04639795635728661,2,1,0.02090985612910639
DOGE-USD,2025-12,1d,-0.22223260438780928,4,1,0.06765052045390196
BCH-USD,2025-12,1d,0.05133792288066616,3,0,0.0709315498242031
LEO-USD,2025-12,1d,-0.0769007075941954,5,1,0.08813356919806431
LINK-USD,2025-12,1d,-0.18137670668764258,2,1,0.059161827084307526
XLM-USD,2025-12,1d,-0.20275324459327748,3,1,0.0696812438451659
XAUt-USD,2025-12,1d,0.027882810179071384,2,0,0.02053178731056527
BGB-USD,2025-12,1d,-0.2889370672054429,2,3,0.02023716687281513
PAXG-USD,2025-12,1d,0.024289176252386822,2,0,0.0221428825937659
AAVE-USD,2025-12,1d,-0.3297082402807791,3,1,0.09054137595727334
OKB-USD,2025-12,1d,0.13683203014899845,8,1,0.04707008096672337
ONDO-USD,2025-12,1d,-0.4019036101134043,1,1,0.07692439567161159
USDD-USD,2025-12,1d,-0.004279453109611495,0,0,0.015
SOL-USD,2025-01,4h,0.20746514743554145,27,5,0.0506287695291502
TRX-USD,2025-01,4h,-0.07974206764583869,13,7,0.025887180904880847
DOGE-USD,2025-01,4h,-0.17125156844222145,16,4,0.061470611851273636
BCH-USD,2025-01,4h,-0.0768995393264413,15,4,0.04948117686846861
LEO-USD,2025-01,4h,-0.18265674969019527,3,5,0.016381164873250836
LINK-USD,2025-01,4h,0.42571323375150316,27,3,0.06660969590835927
XLM-USD,2025-01,4h,0.06825352445292082,18,3,0.05934908833710506
XAUt-USD,2025-01,4h,0.21898214681239553,1,0,0.015
BGB-USD,2025-01,4h,0.4348330154786163,22,4,0.031684766122331
PAXG-USD,2025-01,4h,0.2275611275130541,1,0,0.015
AAVE-USD,2025-01,4h,0.23719778130616762,19,2,0.07471722087355222
OKB-USD,2025-01,4h,-0.05915452521960106,14,5,0.03277474718917861
ONDO-USD,2025-01,4h,0.025320914801541222,17,2,0.08281715833341047
USDD-USD,2025-01,4h,-0.0011201094739953987,0,0,0.015
BNB-USD,2025-02,4h,-0.22926349753575775,11,7,0.030415956891871276
XRP-USD,2025-02,4h,-0.7836865062481229,11,6,0.06654970130689349
SOL-USD,2025-02,4h,-0.6354711420785315,9,5,0.06660907891979871
TRX-USD,2025-02,4h,-0.11077747990104397,13,8,0.025820005608055956
DOGE-USD,2025-02,4h,-0.9335858515318068,10,8,0.05597468568600967
BCH-USD,2025-02,4h,-0.4099533444595545,5,3,0.06568870402295617
LEO-USD,2025-02,4h,-0.003842478932347149,4,2,0.027701793446868204
LINK-USD,2025-02,4h,-0.8537132462014416,8,6,0.06531104600070237
XLM-USD,2025-02,4h,-0.6280860796170964,11,6,0.05801675971742535
XAUt-USD,2025-02,4h,-0.05891462933714138,1,0,0.015
BGB-USD,2025-02,4h,-1.033334769556368,11,11,0.0441164078905168
XAUt-USD,2025-03,4h,0.31420431394355547,2,0,0.015
AAVE-USD,2025-03,4h,-0.6132754815849512,24,14,0.035952614533861095
OKB-USD,2025-03,4h,-0.18334002802614122,14,7,0.023999583584149276
ONDO-USD,2025-03,4h,-0.46203135375322746,34,16,0.035167535734498226
USDD-USD,2025-03,4h,-0.0011087638017124846,0,0,0.015
BNB-USD,2025-04,4h,-0.1453798962936162,7,6,0.015
XRP-USD,2025-04,4h,-0.21988429689672556,20,12,0.021983349784180702
SOL-USD,2025-04,4h,0.3523173163132378,25,12,0.02175405963748297
TRX-USD,2025-04,4h,0.018139591748895328,6,7,0.015
DOGE-USD,2025-04,4h,-0.030227630978297382,22,13,0.023522803652788908
BCH-USD,2025-04,4h,0.030224014136147163,19,13,0.020292352913471076
LEO-USD,2025-04,4h,0.42759140851747357,6,6,0.015
LINK-USD,2025-04,4h,-0.2898333071727029,23,13,0.024331338829644555
XLM-USD,2025-04,4h,0.018266349760669983,22,9,0.028033032745861258
XAUt-USD,2025-04,4h,0.19484814399882452,3,3,0.015
