ticker,month,timeframe,roi,tp_hits,sl_hits,cycles,avg_spacing
AAVE-USD,2025-06,1d,0.5134190145703906,9,0,9,10.0
OKB-USD,2025-06,1d,0.14487705306242787,4,0,4,7.168565257008441
ONDO-USD,2025-06,1d,0.5419150888534022,7,0,7,10.0
USDD-USD,2025-06,1d,-0.00032673792222340123,0,0,0,1.5
BNB-USD,2025-07,1d,0.15330186153130854,7,0,7,6.93527691829313
XRP-USD,2025-07,1d,-0.06056952816888951,8,0,8,9.411928067816639
SOL-USD,2025-07,1d,-0.18983558512538365,6,0,6,9.238517328201738
TRX-USD,2025-07,1d,0.26888173744218874,6,0,6,4.985279236292612
DOGE-USD,2025-07,1d,-0.5050644664002175,8,0,8,10.0
BCH-USD,2025-07,1d,0.24785836152059348,7,0,7,8.621856566572648
LEO-USD,2025-07,1d,0.05123033551974003,0,0,0,1.5
LINK-USD,2025-07,1d,0.16976608546015995,9,0,9,10.0
XLM-USD,2025-07,1d,0.5625,12,0,12,10.0
XAUt-USD,2025-07,1d,-0.032513641968325825,1,0,1,1.5
BGB-USD,2025-07,1d,-0.17490000743482598,3,0,3,6.611278405978684
PAXG-USD,2025-07,1d,-0.102147131608217,1,0,1,1.5
AAVE-USD,2025-07,1d,-0.23476086163725993,8,0,8,10.0
OKB-USD,2025-07,1d,0.030296109170085402,1,0,1,3.983826200936373
ONDO-USD,2025-07,1d,-0.18569820082913793,9,0,9,10.0
USDD-USD,2025-07,1d,-0.0007978933565391344,0,0,0,1.5
BNB-USD,2025-08,1d,0.23681623380103703,6,0,6,5.561151922281157
XRP-USD,2025-08,1d,-0.27448681194224267,3,0,3,8.175801323246437
SOL-USD,2025-08,1d,0.2681971495737707,8,0,8,10.0
TRX-USD,2025-08,1d,0.04729162216068289,5,0,5,3.973926896512318
DOGE-USD,2025-08,1d,0.10379010720011138,5,0,5,9.956071092208735
BCH-USD,2025-08,1d,-0.08579857472093863,3,0,3,6.677443329153133
LEO-USD,2025-08,1d,0.12251396463483616,3,0,3,2.407611880493266
LINK-USD,2025-08,1d,0.2959619538783954,8,0,8,10.0
XLM-USD,2025-08,1d,-0.5492029954958343,6,0,6,8.900054732651022
XAUt-USD,2025-08,1d,0.13130232647681625,2,0,2,1.5
BGB-USD,2025-08,1d,-0.06930481946394139,2,0,2,5.030090661454974
PAXG-USD,2025-08,1d,0.13035810817096716,2,0,2,1.5
AAVE-USD,2025-08,1d,0.10516286544263495,7,0,7,10.0
OKB-USD,2025-08,1d,-0.01688700810307637,6,0,6,10.0
ONDO-USD,2025-08,1d,0.10497564007469917,7,0,7,9.372146511118004
USDD-USD,2025-08,1d,-0.0007157673082838301,0,0,0,1.5
BNB-USD,2025-09,1d,0.3801091080447805,8,0,8,6.502796047388543
XRP-USD,2025-09,1d,0.03620788217544032,4,0,4,5.6280881122827635
SOL-USD,2025-09,1d,-0.18553458274636797,6,0,6,8.01687075689211
TRX-USD,2025-09,1d,0.43328657937358,3,0,3,2.752251553925268
DOGE-USD,2025-09,1d,-0.20861948023019067,6,0,6,8.669875302908977
BCH-USD,2025-09,1d,-0.030332261268704315,4,0,4,5.2859344006442335
LEO-USD,2025-09,1d,-0.007875797735323431,0,0,0,1.5
LINK-USD,2025-09,1d,-0.06598199303203728,4,0,4,7.6124270007174575
XLM-USD,2025-09,1d,0.08262735222693664,5,0,5,6.512574507971191
XAUt-USD,2025-09,1d,0.15,4,0,4,1.5963366522881752
BGB-USD,2025-09,1d,0.181403174960451,4,0,4,5.253658944768535
PAXG-USD,2025-09,1d,0.16025570078845702,4,0,4,1.669757006722096
AAVE-USD,2025-09,1d,-0.24080042852259795,2,0,2,7.594622445259848
